country,population,total_prod,solar,wind,hydro,geothermal,nuclear,others,solar_nic,wind_nic,hydro_nic,geothermal_nic,nuclear_nic
Oman,4829.473,37192.0,4.0,0.0,0.0,0.0,0.0,37188.0,8.3,0.0,0.0,0.0,0.0
Other non-specified areas,23726.46,,,,,,,,,,,,
Pakistan,212228.28600000002,130671.0,714.0,2124.0,27729.0,0.0,9849.0,90255.0,436.0,1041.0,7270.0,0.0,1430.0
Palau,17.907,89.0,0.25,0.0,0.0,0.0,0.0,88.75,1.5,0.0,0.0,0.0,0.0
Panama,4176.869000000001,10860.6,232.6,587.9,7857.8,0.0,0.0,2182.300000000001,189.0,270.0,1776.7,0.0,0.0
Papua New Guinea,8606.323,4291.4,1.39,0.0,876.0,425.0,0.0,2989.0099999999998,1.258,0.0,257.795,56.0,0.0
Paraguay,6956.066,58729.54,0.0,0.0,59210.9,0.0,0.0,-481.3600000000006,0.0,0.0,8760.0,0.0,0.0
Peru,31989.26,54239.0,797.0,1502.0,30737.0,0.0,0.0,21203.0,325.0,372.0,5363.0,0.0,0.0
Philippines,106651.394,90434.3,1249.1,1152.9,9400.8,10435.3,0.0,68196.20000000001,896.0,427.0,3717.0,1944.0,0.0
Poland,37921.592000000004,155259.0,300.0,12799.0,2387.0,0.0,0.0,139773.0,562.0,5766.0,2392.0,0.0,0.0
Polynesia,676.096,,,,,,,,,,,,
Portugal,10256.193000000001,58197.0,1006.0,12616.0,13629.0,230.0,0.0,30716.0,667.0,5172.5,7236.0,29.0,0.0
Puerto Rico,3039.5959999999995,16167.0,81.0,108.0,38.0,0.0,0.0,15940.0,165.0,101.0,99.0,0.0,0.0
Qatar,2781.6820000000002,44654.0,0.0,0.0,0.0,0.0,0.0,44654.0,,,,,
Republic of Korea,51171.706,,,,,,,,,,,,
Republic of Moldova,4051.9440000000004,822.0,1.0,23.0,44.0,0.0,0.0,754.0,3.0,34.0,16.3,0.0,0.0
Romania,19506.113999999998,60175.0,1771.0,6322.0,18097.0,0.0,11377.0,22608.0,1386.0,3032.0,6700.0,0.0,1411.0
Russian Federation,145734.038,1044536.954,719.945,231.88299999999998,193027.306,426.343,204569.141,645562.336,677.5,161.1,51332.5,74.0,29139.9
Rwanda,12301.97,728.0,18.1,0.0,350.1,0.0,0.0,359.79999999999995,12.08,0.0,103.16,0.0,0.0
Réunion,882.5260000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Helena,6.035,,,,,,,,,,,,
Saint Kitts and Nevis,52.441,,,,,,,,,,,,
Saint Lucia,181.889,,,,,,,,,,,,
Saint Pierre and Miquelon,5.849,,,,,,,,,,,,
Saint Vincent and the Grenadines,110.211,,,,,,,,,,,,
Saint-Barthélemy,9.816,,,,,,,,,,,,
Saint-Martin (French part),37.264,,,,,,,,,,,,
Samoa,196.12900000000002,149.37,21.116999999999997,0.134,42.8,0.0,0.0,85.31900000000002,18.02,0.55,12.0,0.0,0.0
San Marino,33.785,,,,,,,,,,,,
Sao Tome and Principe,211.028,84.8,0.4,0.0,5.9,0.0,0.0,78.5,0.32,0.0,2.32,0.0,0.0
Saudi Arabia,33702.756,312193.0,1.0,3.555,0.0,0.0,0.0,312188.445,0.5,2.8,0.0,0.0,0.0
Senegal,15854.323,4447.0,80.0,0.0,0.0,0.0,0.0,4367.0,143.0,0.0,0.0,0.0,0.0
Serbia,8802.754,34784.0,13.0,150.0,11393.0,0.0,0.0,23228.0,15.0,264.0,2936.0,0.0,0.0
Seychelles,97.096,505.7,3.5,7.4,0.0,0.0,0.0,494.8,3.5,6.0,0.0,0.0,0.0
Sierra Leone,7650.15,156.3,5.8,0.0,78.3,0.0,0.0,72.20000000000002,4.3,0.0,57.0,0.0,0.0
Singapore,5757.499,52904.8,169.0,0.0,0.0,0.0,0.0,52735.8,114.8,0.0,0.0,0.0,0.0
Sint Maarten (Dutch part),41.94,291.4,0.0,0.0,0.0,0.0,0.0,291.4,,,,,
Slovakia,5453.014,24863.0,585.0,6.0,3879.0,0.0,14843.0,5550.0,471.0,4.0,2528.0,0.0,1940.0
Slovenia,2077.837,15447.0,255.0,6.0,4893.0,0.0,5776.0,4517.0,247.0,5.2,1343.7,0.0,688.0
Small Island Developing States (SIDS),70791.82400000001,,,,,,,,,,,,
Solomon Islands,652.857,107.338,2.895,0.0,0.8909999999999999,0.0,0.0,103.55199999999999,2.535,0.0,0.33899999999999997,0.0,0.0
Somalia,15008.226,350.0,0.0,0.0,0.0,0.0,0.0,350.0,,,,,
South Africa,57792.518,242211.0,4241.0,6467.0,5694.0,0.0,11580.0,214229.0,2959.0,2330.0,761.0,0.0,1940.0
South America,423581.078,,,,,,,,,,,,
