"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Mexico","Electricity - total net installed capacity of electric power plants, nuclear","2000","Kilowatts,  thousand","1365",""
"Mexico","Electricity - total net installed capacity of electric power plants, nuclear","1999","Kilowatts,  thousand","1368",""
"Mexico","Electricity - total net installed capacity of electric power plants, nuclear","1998","Kilowatts,  thousand","1309",""
"Mexico","Electricity - total net installed capacity of electric power plants, nuclear","1997","Kilowatts,  thousand","1309",""
"Mexico","Electricity - total net installed capacity of electric power plants, nuclear","1996","Kilowatts,  thousand","1309",""
"Mexico","Electricity - total net installed capacity of electric power plants, nuclear","1995","Kilowatts,  thousand","1309",""
"Mexico","Electricity - total net installed capacity of electric power plants, nuclear","1994","Kilowatts,  thousand","675",""
"Mexico","Electricity - total net installed capacity of electric power plants, nuclear","1993","Kilowatts,  thousand","675",""
"Mexico","Electricity - total net installed capacity of electric power plants, nuclear","1992","Kilowatts,  thousand","675",""
"Mexico","Electricity - total net installed capacity of electric power plants, nuclear","1991","Kilowatts,  thousand","675",""
"Mexico","Electricity - total net installed capacity of electric power plants, nuclear","1990","Kilowatts,  thousand","675",""
"Netherlands","Electricity - total net installed capacity of electric power plants, nuclear","2018","Kilowatts,  thousand","485",""
"Netherlands","Electricity - total net installed capacity of electric power plants, nuclear","2017","Kilowatts,  thousand","485",""
"Netherlands","Electricity - total net installed capacity of electric power plants, nuclear","2016","Kilowatts,  thousand","485",""
"Netherlands","Electricity - total net installed capacity of electric power plants, nuclear","2015","Kilowatts,  thousand","485",""
"Netherlands","Electricity - total net installed capacity of electric power plants, nuclear","2014","Kilowatts,  thousand","485",""
"Netherlands","Electricity - total net installed capacity of electric power plants, nuclear","2013","Kilowatts,  thousand","485",""
"Netherlands","Electricity - total net installed capacity of electric power plants, nuclear","2012","Kilowatts,  thousand","510",""
"Netherlands","Electricity - total net installed capacity of electric power plants, nuclear","2011","Kilowatts,  thousand","510",""
"Netherlands","Electricity - total net installed capacity of electric power plants, nuclear","2010","Kilowatts,  thousand","510",""
"Netherlands","Electricity - total net installed capacity of electric power plants, nuclear","2009","Kilowatts,  thousand","510",""
"Netherlands","Electricity - total net installed capacity of electric power plants, nuclear","2008","Kilowatts,  thousand","510",""
"Netherlands","Electricity - total net installed capacity of electric power plants, nuclear","2007","Kilowatts,  thousand","510",""
"Netherlands","Electricity - total net installed capacity of electric power plants, nuclear","2006","Kilowatts,  thousand","510",""
"Netherlands","Electricity - total net installed capacity of electric power plants, nuclear","2005","Kilowatts,  thousand","449",""
"Netherlands","Electricity - total net installed capacity of electric power plants, nuclear","2004","Kilowatts,  thousand","449",""
"Netherlands","Electricity - total net installed capacity of electric power plants, nuclear","2003","Kilowatts,  thousand","449",""
"Netherlands","Electricity - total net installed capacity of electric power plants, nuclear","2002","Kilowatts,  thousand","449",""
"Netherlands","Electricity - total net installed capacity of electric power plants, nuclear","2001","Kilowatts,  thousand","449",""
"Netherlands","Electricity - total net installed capacity of electric power plants, nuclear","2000","Kilowatts,  thousand","449",""
"Netherlands","Electricity - total net installed capacity of electric power plants, nuclear","1999","Kilowatts,  thousand","449",""
"Netherlands","Electricity - total net installed capacity of electric power plants, nuclear","1998","Kilowatts,  thousand","449",""
"Netherlands","Electricity - total net installed capacity of electric power plants, nuclear","1997","Kilowatts,  thousand","449",""
"Netherlands","Electricity - total net installed capacity of electric power plants, nuclear","1996","Kilowatts,  thousand","505",""
"Netherlands","Electricity - total net installed capacity of electric power plants, nuclear","1995","Kilowatts,  thousand","505",""
"Netherlands","Electricity - total net installed capacity of electric power plants, nuclear","1994","Kilowatts,  thousand","505",""
"Netherlands","Electricity - total net installed capacity of electric power plants, nuclear","1993","Kilowatts,  thousand","505",""
"Netherlands","Electricity - total net installed capacity of electric power plants, nuclear","1992","Kilowatts,  thousand","505",""
"Netherlands","Electricity - total net installed capacity of electric power plants, nuclear","1991","Kilowatts,  thousand","505",""
"Netherlands","Electricity - total net installed capacity of electric power plants, nuclear","1990","Kilowatts,  thousand","508",""
"Other Asia","Electricity - total net installed capacity of electric power plants, nuclear","2019","Kilowatts,  thousand","3872",""
"Other Asia","Electricity - total net installed capacity of electric power plants, nuclear","2018","Kilowatts,  thousand","4508",""
"Other Asia","Electricity - total net installed capacity of electric power plants, nuclear","2017","Kilowatts,  thousand","5144",""
"Other Asia","Electricity - total net installed capacity of electric power plants, nuclear","2016","Kilowatts,  thousand","5144",""
"Other Asia","Electricity - total net installed capacity of electric power plants, nuclear","2015","Kilowatts,  thousand","5144",""
"Other Asia","Electricity - total net installed capacity of electric power plants, nuclear","2014","Kilowatts,  thousand","5144",""
"Other Asia","Electricity - total net installed capacity of electric power plants, nuclear","2013","Kilowatts,  thousand","5144",""
"Other Asia","Electricity - total net installed capacity of electric power plants, nuclear","2012","Kilowatts,  thousand","5144",""
"Other Asia","Electricity - total net installed capacity of electric power plants, nuclear","2011","Kilowatts,  thousand","5144",""
"Other Asia","Electricity - total net installed capacity of electric power plants, nuclear","2010","Kilowatts,  thousand","5144",""
